Franchise,Total,Releases,Top Release,Domestic Lifetime Gross,Budget,Studio,Rating,Runtime,Average Critic Score,Average Audience Score,Main Actor
Marvel Cinematic Universe,"12,804,518,606",43,Avengers: Endgame,"858,373,000","356,000,000",Walt Disney Studios Motion Pictures,PG-13,181,78,8.4,Robert Downey Jr
Star Wars,"5,137,465,429",25,Star Wars: Episode VII - The Force Awakens,"936,662,225","245,000,000",Walt Disney Studios Motion Pictures,PG-13,138,80,7.8,Daisy Ridley
Disney Live Action Reimaginings,"3,493,794,115",17,The Lion King,"543,638,043","260,000,000",Walt Disney Studios Motion Pictures,PG,118,55,6.8,Donald Glover
Spider-Man,"3,317,126,701",19,Spider-Man: No Way Home,"804,793,477","200,000,000",Sony Pictures Releasing,PG-13,148,71,8.2,Tom Holland
J.K. Rowling's Wizarding World,"2,884,087,807",35,Harry Potter and the Deathly Hallows: Part 2,"381,011,219","125,000,000",Warner Bros.,PG-13,130,85,8.1,Daniel Radcliffe
DC Extended Universe,"2,781,643,576",20,Wonder Woman,"412,563,408","149,000,000",Warner Bros.,PG-13,141,76,7.3,Gal Gadot
Batman,"2,780,809,581",25,The Dark Knight,"533,345,358","185,000,000",Warner Bros.,PG-13,152,84,9.0,Christian Bale
Avengers,"2,619,552,260",4,Avengers: Endgame,"858,373,000","356,000,000",Walt Disney Studios Motion Pictures,PG-13,181,78,8.4,Robert Downey Jr
X-Men,"2,458,462,356",14,Deadpool,"363,070,709","58,000,000",Twentieth Century Fox,R,108,65,8.0,Ryan Reynolds
Harry Potter,"2,394,643,487",32,Harry Potter and the Deathly Hallows: Part 2,"381,011,219","125,000,000",Warner Bros.,PG-13,130,85,8.1,Daniel Radcliffe
James Bond,"2,273,796,409",26,Skyfall,"304,360,277","200,000,000",Sony Pictures Releasing,PG-13,143,81,7.8,Daniel Craig
Jurassic Park,"2,265,421,094",11,Jurassic World,"652,270,625","150,000,000",Universal Pictures,PG-13,124,59,6.9,Chris Pratt
The Fast and the Furious,"2,010,101,331",12,Furious 7,"353,007,020","190,000,000",Universal Pictures,PG-13,137,67,7.1,Vin Diesel
Despicable Me,"1,951,973,170",7,Minions: The Rise of Gru,"370,549,695","100,000,000",Universal Pictures,PG,87,56,6.5,Steve Carell
Middle Earth,"1,863,325,466",21,The Lord of the Rings: The Return of the King,"377,027,325","94,000,000",New Line Cinema,PG-13,211,94,9.0,Elijah Wood
The Hunger Games,"1,617,889,120",5,The Hunger Games: Catching Fire,"424,668,047","130,000,000",Lionsgate,PG-13,146,76,7.5,Jennifer Lawrence
Shrek,"1,610,484,213",8,Shrek 2,"441,550,292","150,000,000",DreamWorks Distribution,PG,93,75,7.4,Mike Meyers
